Operation,FT-2DR,FT-5DR,VX-6R,FT-60R,FTM-500DR,FT-817ND,FT-857D,FT-8800R/8900R,ID-51,IC-705,TH D-75,TM D-710,TM-V71A
Repeater Shift Freq (offset),[DISP][long press]+[CONFIG]+Dial:16,[F MENU][long press]+[CONFIG]+Dial:16,,[F/W]+[2(CODE)]-->DIAL(SHIFT)-->[F/W]-->DIAL-->PTT(exit),[FUNC](long press)+Dial:27,[F] (long press)+Dial:42,[FUNC] (long press)+Dial:76,TBD,[MENU][Offset Freq],,,,
Home Channel,[F/MW][HOME],[F MENU][HOME],[F/W]+[HW/RV(EMG)],[F/W]+[0(SET)]-->(Menu: 36)-->[F/W]-->DIAL((HOME)-->PTT(exit),[FUNC](long press)+Dial:19,[HOME],[HOME],TBD,,,,,
Home Freq (change on a custom freq),[F/MW][long press)+###+[H.WRITE],[V/M](long press)+###+[H.WRITE],[F/W]+[HW/RV(EMG)],[F/W]+[HS/RV(EMG)],[FUNC](long press)+Dial:20-->[FUNC][EDIT][FUNC],[FUNC]-->SEL (rotate) until MW over[A]-->[MW] (press)-->Memory Chck-->[HOME](long press),[FUNC]-->SEL (rotate) until MW over[A]-->[MW] (press)-->Memory Check-->[HOME](long press),TBD,[QUICK][Home CH Set],,,,
Total Time,[DISP][long press]+[CONFIG]+Dial:20,[F MENU][long press]+[CONFIG]+Dial:21,[F/W]+[0(SET)]+Dial:67,[F/W]+[0(SET)]-->(Menu: 51)-->DIAL(select total time)-->PTT(exit),[FUNC](long press)+Dial:13,[F] (long press)+Dial:49,[FUNC] (long press)+Dial:84,(Menu: 41) - Press upper dial; select time-->Exit [SET] [SET],,,,,
Weather Alert,[DISP][long press]+[SIGNALING]+Dial:14,[F MENU][long press]+[SIGNALING]+Dial:15,[F/W]+[0(SET)]+Dial:73,[F/W]+[0(SET)]-->(Menu: 56)-->DIAL(ALT.ON)-->PTT(exit),[FUNC](long press)+Dial:51,N/A,N/A,N/A,[QUICK][Weather Alert],,,,
Time Setting,[DISP][long press]+[CONFIG]+Dial:19,[F MENU][long press]+[CONFIG]+Dial:20,,TBD,[FUNC](long press)+Dial:30,N/A,N/A,N/A,[MENU][Time Set],,,,
Time Zone,[DISP][long press]+[APRS]+Dial:28,[F MENU][long press]+[APRS]+Dial:28,,TBD,[FUNC](long press)+Dial:32,N/A,N/A,N/A,,,,,
APRS GPS,[DISP][long press]+[APRS]+Dial:20,[F MENU][long press]+[APRS]+Dial:20,,TBD,[FUNC](long press)+Dial:85,N/A,N/A,N/A,[MENU][GPS],,,,
APRS Modem,[DISP][long press]+[APRS]+Dial:04,[F MENU][long press]+[APRS]+Dial:4,,TBD,[FUNC](long press)+Dial:76,N/A,N/A,N/A,[MENU][GPS][GPS TX Mode],,,,
APRS Beacon Tx,[DISP][long press]+[APRS]+Dial:16,[F MENU][long press]+[APRS]+Dial:16,,TBD,[FUNC](long press)+Dial:85,N/A,N/A,N/A,[MENU][GPS][GPS Auto TX],,,,
APRS Beacon Interval,[DISP][long press]+[APRS]+Dial:14,[F MENU][long press]+[APRS]+Dial:14,,TBD,[FUNC](long press)+Dial:85,N/A,N/A,N/A,[MENU][GPS][GPS Auto TX],,,,
APRS Beacon Type,[DISP][long press]+[APRS]+Dial:27,[F MENU][long press]+[APRS]+Dial:27,,TBD,[FUNC](long press)+Dial:85,N/A,N/A,N/A,N/A,,,,
APRS Callsign,[DISP][long press]+[APRS]+Dial:23,[F MENU][long press]+[APRS]+Dial:23,,TBD,[FUNC](long press)+Dial:93,N/A,N/A,N/A,[MENU][Call Sign],,,,
Extra,,,,,,,,,,,,,
Scope,[F/MW][SCOPE],[F/MW][SCOPE],,TBD,[DSIP],[F] (long press)+Dial:42,[FUNC]-->SEL (rotate) until SCOP over [A],N/A,[QUICK][BAND-SCOPE](enter)/[V/MHZ/CLR](clear),,,,
X-Band Repeater,,,,TBD,[GM]+[DISP]+[FUNC],N/A,N/A,N/A,N/A,,,,
PMG (Primary Memory Group),,,,TBD,Navigate to Freq/Ch-->[PMG](long press),N/A,N/A,N/A,N/A,,,,
Grid Menu/List Menu,,,,TBD,[BAND]+[FUNC]+[PWR],N/A,N/A,N/A,N/A,,,,
Reset Memory,,,,TBD,[FUNC](long press)+Dial:122,[V/M]+POWER,[V/M]+POWER,Radio Off-->[V/M]+Power On-->MEMORY RESET/HYPER RESET,N/A,,,,
Reset Settings,,[F MENU][A/B]+POWER,[MODE(SP S)SQ TYP][V/M(DW)MT]+POWER,TBD,[FUNC](long press)+Dial:123 (APRS Reset),[F]+POWER,[FUNC]+POWER,Radio Off-->[V/M]+Power On-->SETMOD RESET,[MENU][Reset][Partial Reset],,,,
Reset Factory Default,[BACK][DISP][BAND]+[PWR],[F MENU][A/B][BAND]+POWER,[MODE(SP S)SQ TYP][0(SET)][V/M(DW)MT]+POWER,TBD,[FUNC](long press)+Dial:127,[HOME]+POWER,[HOME]+POWER,Radio Off-->[V/M]+Power On-->ALL RESET,[MENU][Reset][All Reset],,,,
Overview,,,,,,,,,,,,,
Memories,,,,,,TBD,TBD,TBD,TBD,,,,
Band Operation,"144MHz, 430MHz C4FM Digital / FM / AM (Air Band Receive)","144MHz, 430MHz C4FM Digital / FM / AM (Air Band Receive)",144/222/430 MHZ,144/430 MHZ,"144MHz, 430MHz C4FM Digital / FM / AM (Air Band Receive)",TBD,TBD,TBD,TBD,,,,
Dual Capability,"Dual watch (V/V, U/U/, V/U), Dual Monitor (C4FM Digital/C4FM Digital)","Real Dual Band Operations (V+V, U+U, V+U, U+V) are available with two independent receivers","Dual watch (V/V, U/U/, V/U)",TBD,"True Dual Band Operation, C4FM/C4FM Digital D-D Dual Receive",TBD,TBD,TBD,TBD,,,,
AM/FM,Yes,Yes,Yes,TBD,Yes,TBD,TBD,TBD,TBD,,,,
Speaker,0.7W,1W,,TBD,9W Front Panel/3W Internal,TBD,TBD,TBD,TBD,,,,
Bluetooth,N/A,Wireless Operation Capability with a Bluetooth® Headset,,TBD,Wireless Operation Capability with a Bluetooth® Headset,TBD,TBD,TBD,TBD,,,,
GPS/APRS,1200/9600bps APRS® Data Communication,1200/9600bps APRS® Data Communication,,TBD,1200/9600bps APRS® Data Communication,TBD,TBD,TBD,TBD,,,,
Battery,"2,200 mAh Li-Ion","2,200 mAh Li-Ion","1,400 mAh Li-Ion",TBD,N/A,TBD,TBD,TBD,TBD,,,,
RX Amp,180mA,180mA,,TBD,TBD,TBD,300mA,TBD,200mA,,,,
TX Amp,,,,TBD,TBD,TBD,TBD,TBD,2.5A,,,,
TX Power,5W/2.5W/1.0W/0.3W,5W/2.5W/1.0W/0.3W,[2m-70cm][5W/2.5W/1.0W/0.3W]                                              [1.25m][1.5W/1.0W/0.5W/0.2W],TBD,50W/25W/5W,[SSB/CW/FM-5W][AM-1.5W],[160-6m][SSB/CW/FM-100W][AM-25W]        [2m][SSB/CW/FM-50W][AM-12.5W]            [70cm][SSB/CW/FM-20W][AM-5W]    ,TBD,5W/2.5W/1.0W/0.5W,,,,
